,radio,lon,lat,range,TowerID
0,UMTS,77.476515,23.221664,1000,40478-33031-19881817
1,GSM,77.473395,23.246984,9558,40467-61302-39622
2,GSM,77.44040799999998,23.233755,5984,40467-61301-43763
3,GSM,77.463741,23.249931,1049,40467-61302-34232
4,GSM,77.46829,23.249903,1000,40467-61302-33583
5,GSM,77.46528599999998,23.251877,1040,40467-61302-34231
6,GSM,77.466087,23.24421,1981,40467-61302-33582
7,GSM,77.476673,23.250217000000006,1024,40467-61302-39623
8,GSM,77.479324,23.253174,1000,40467-61302-39621
9,GSM,77.45635899999998,23.238039,2898,40467-61302-32931
10,GSM,77.48214,23.252607,1000,40467-61302-43883
11,GSM,77.47558599999998,23.255654,1610,40467-61302-33052
12,GSM,77.48176600000002,23.250504,1000,40467-61302-43882
13,GSM,77.470779418945,23.253250122070003,1000,40478-35500-10573
14,GSM,77.470779418945,23.249130249023,1000,40478-35500-10622
15,GSM,77.462311,23.180923,1000,40478-35000-11862
16,GSM,77.385178,23.256912,1479,40478-35500-12232
17,GSM,77.385653,23.263478,1000,40478-33031-21747
18,GSM,77.382612,23.263793,4235,40478-35500-11371
19,UMTS,77.385885,23.262239,2236,40478-33031-19881786
20,UMTS,77.386726,23.264185,1000,40478-33031-19883066
21,GSM,77.385635375977,23.262863159180004,1000,40478-33031-21099
22,GSM,77.385635375977,23.264236450194996,1000,40478-33031-23188
23,GSM,77.437402,23.200714,10487,40493-39045-36811
24,GSM,77.39899399999999,23.234898,1000,40493-39045-36581
25,GSM,77.40209399999998,23.23358,1000,40493-39045-38222
26,GSM,77.40074200000002,23.235616,1000,40493-39045-38223
27,GSM,77.399224,23.2393,1000,40493-39045-13571
28,GSM,77.436447143555,23.199691772460998,1000,40493-39045-36812
29,GSM,77.435861,23.200004,1000,40493-39045-36813
30,GSM,77.433757,23.196088,1000,40493-39045-38201
31,GSM,77.43093,23.197055,1000,40493-39045-38472
32,GSM,77.42959300000003,23.20162,1000,40493-39045-38471
33,GSM,77.427559,23.202139000000006,1000,40493-39045-38473
34,GSM,77.42428100000002,23.20128,1172,40493-39045-38382
35,GSM,77.424513,23.205406,2220,40493-39045-51662
36,GSM,77.420124,23.202247,1186,40493-39045-58061
37,GSM,77.411344,23.197419,1155,40493-39045-58063
38,GSM,77.410257,23.198041,1000,40493-39045-38383
39,GSM,77.404443,23.190476,1200,40493-39045-58062
40,GSM,77.408981323242,23.191452026367003,1000,40493-39045-38193
41,GSM,77.410224,23.198972,1000,40493-39045-51663
42,GSM,77.408997,23.192154,1000,40493-39045-38191
43,GSM,77.408981323242,23.191452026367003,1000,40493-39045-24652
44,GSM,77.408981323242,23.191452026367003,1000,40493-39045-21146
